tag_id,tag_name,memory,address,data_type,collection_group,scale,offset,decimals,word_length,format,unit,description
64,D200,D,200,uint32,plc_data,1,0,,8,,,생산수량
65,D202,D,202,uint32,plc_data,1,0,,8,,,OK 수량_PCS
66,D204,D,204,uint32,plc_data,1,0,,8,,,NG 수량_PCS
67,D206,D,206,float32,plc_data,1,0,2,,,,합격률
68,D208,D,208,float32,plc_data,1,0,2,,,,불량률
69,D210,D,210,uint32,plc_data,1,0,,10,,,총 생산수
70,D212,D,212,int16,plc_data,1,0,,2,,,실시간 효율_PCS
71,D214,D,214,int16,plc_data,1,0,,2,,,분 효율_PCS
72,D216,D,216,uint32,plc_data,0.1,0,,5,,,사이클 시간
1000,Y401,Y,401,bool,plc_data,1,0,,,,,자동 선택 표시 등
1001,Y402,Y,402,bool,plc_data,1,0,,,,,표시등을 수동으로 선택
1002,Y403,Y,403,bool,plc_data,1,0,,,,,자동 시작 표시등
1003,Y404,Y,404,bool,plc_data,1,0,,,,,자동 정지 표시등
1004,Y405,Y,405,bool,plc_data,1,0,,,,,재설정 표시등
1005,Y406,Y,406,bool,plc_data,1,0,,,,,알람 해제 표시등
1006,Y407,Y,407,bool,plc_data,1,0,,,,,사이클 시작 표시등
1007,Y408,Y,408,bool,plc_data,1,0,,,,,실린더 작동 표시 등
1008,Y409,Y,409,bool,plc_data,1,0,,,,,실린더 재설정 표시등
1009,Y40A,Y,40A,bool,plc_data,1,0,,,,,잔여물 처리 표시등
1010,Y40C,Y,40C,bool,plc_data,1,0,,,,,TL_RED
1011,Y40D,Y,40D,bool,plc_data,1,0,,,,,TL_Green
1012,Y40E,Y,40E,bool,plc_data,1,0,,,,,TL_Yellow
3000,M188,M,188,bool,log,1,0,,,,,Log3(D360-D368)
3001,D360,D,360,uint32,log,1,0,0,,,,Number/h
3002,D362,D,362,uint32,log,1,0,0,,,,OK_Number/h
3003,D364,D,364,uint32,log,1,0,0,,,,NG_Number/h
3004,D366,D,366,float32,log,1,0,2,,,,OK/%
3005,D368,D,368,float32,log,1,0,2,,,,NG/%
2000,L2001,L,2001,bool,alm,1,0,,,,,건조로 배출 실린더(Long)수동 미환원
2001,L2002,L,2002,bool,alm,1,0,,,,,건조로 배출 실린더(Short)수동 미환원
2002,L2003,L,2003,bool,alm,1,0,,,,,자재 저정 상하 실린더 수동 미환원
2003,L2004,L,2004,bool,alm,1,0,,,,,저장판 자재 저장 위치지정 실린더 1 수동 미환원
2004,L2005,L,2005,bool,alm,1,0,,,,,저장판 자재 저장 위치지정 실린더 2 수동 미환원
2005,L2006,L,2006,bool,alm,1,0,,,,,저장판 자재 배출 위치지정 실린더 1 수동 미환원
2006,L2007,L,2007,bool,alm,1,0,,,,,저장판 자재 배출 위치지정 실린더 2 수동 미환원
2007,L2008,L,2008,bool,alm,1,0,,,,,저장판 자제 이송 실린더 수동 미환원
2008,L2009,L,2009,bool,alm,1,0,,,,,중계분활 실린더 수동 미환원
2009,L2010,L,2010,bool,alm,1,0,,,,,중계회전 실린더 수동 미환원
2010,L2011,L,2011,bool,alm,1,0,,,,,중계자재 밀기 실린더 수동 미환원
2011,L2012,L,2012,bool,alm,1,0,,,,,건조로 배출 상하 실린더 수동 미환원
2012,L2013,L,2013,bool,alm,1,0,,,,,배출 배플 상하 실린더 수동 미환원
2013,L2014,L,2014,bool,alm,1,0,,,,,벨트 클립 실린더 수동 미환원
2069,L3001,L,3001,bool,alm,1,0,,,,,건조로 자재 배출 실린더 (Long)이상
2070,L3002,L,3002,bool,alm,1,0,,,,,건조로 자재 배출 실린더 (Short)이상
2071,L3003,L,3003,bool,alm,1,0,,,,,자저저장 상하 실린더 이상
2072,L3004,L,3004,bool,alm,1,0,,,,,저장판 자재 저장 위치 지정 실린더 1 이상
2073,L3005,L,3005,bool,alm,1,0,,,,,저장판 자재 저장 위치 지정 실린더 2 이상
2074,L3006,L,3006,bool,alm,1,0,,,,,저장판 자재 배출 위치 지정 실린더 1 이상
2075,L3007,L,3007,bool,alm,1,0,,,,,저장판 자재 배출 위치 지정 실린더 2 이상
2076,L3008,L,3008,bool,alm,1,0,,,,,저장판 자재 이송 실린더 이상
2077,L3009,L,3009,bool,alm,1,0,,,,,중계분활 실린더 이상
2078,L3010,L,3010,bool,alm,1,0,,,,,중계회전 실린더 이상
2079,L3011,L,3011,bool,alm,1,0,,,,,중계자재 밀기 실린더 이상
2080,L3012,L,3012,bool,alm,1,0,,,,,건조로 자재 배출 상하 실린더 이상
2081,L3013,L,3013,bool,alm,1,0,,,,,아웃풋 댐퍼 상하 실린더 이상
2082,L3014,L,3014,bool,alm,1,0,,,,,벨트 클립 실린더 이상
2139,L800,L,800,bool,alm,1,0,,,,,리셋 시간 초과
2162,L823,L,823,bool,alm,1,0,,,,,위치 결정 모듈 1 고장
2163,L824,L,824,bool,alm,1,0,,,,,위치 결정 모듈 2 고장
2164,L825,L,825,bool,alm,1,0,,,,,위치 결정 모듈 3 고장
2165,L826,L,826,bool,alm,1,0,,,,,위치 결정 모듈 4 고장
2166,L827,L,827,bool,alm,1,0,,,,,위치 결정 모듈 5 고장
2167,L828,L,828,bool,alm,1,0,,,,,위치 결정 모듈 6 고장
2168,L829,L,829,bool,alm,1,0,,,,,위치 결정 모듈 7 고장
2169,L830,L,830,bool,alm,1,0,,,,,ST0 유닛 복귀 시간 초과
2170,L831,L,831,bool,alm,1,0,,,,,ST1 유닛 복귀 시간 초과
2171,L832,L,832,bool,alm,1,0,,,,,ST2 유닛 복귀 시간 초과
2172,L833,L,833,bool,alm,1,0,,,,,ST3 유닛 복귀 시간 초과
2199,L860,L,860,bool,alm,1,0,,,,,저기압 알람
2200,L861,L,861,bool,alm,1,0,,,,,자재 저정 서보 알람
2201,L862,L,862,bool,alm,1,0,,,,,자재 배출 서보 알람
2220,L881,L,881,bool,alm,1,0,,,,,자재 저장 서보 마이너스 리미트 이상
2221,L882,L,882,bool,alm,1,0,,,,,자재 배출 서보 마이너스 리미트 이상
2240,L901,L,901,bool,alm,1,0,,,,,자재 저장 서보 플러스 리미트 이상
2241,L902,L,902,bool,alm,1,0,,,,,자재 배출 서보 플러스 리미트 이상
2330,L991,L,991,bool,alm,1,0,,,,,급정지가 눌러져 있음
2331,L992,L,992,bool,alm,1,0,,,,,일시정지 버튼이 눌려져 있음
2332,L993,L,993,bool,alm,1,0,,,,,안전문이 이미 열렸습니다.
2333,L994,L,994,bool,alm,1,0,,,,,에어 공급원  열리지 않음
2339,L700,L,700,bool,alm,1,0,,,,,리셋  되지 않음
2340,L701,L,701,bool,alm,1,0,,,,,자재 저장 서보가 원점으로 돌아가지 않았습니다.
2341,L702,L,702,bool,alm,1,0,,,,,자재 배출 서보가 원점으로 돌아가지 않았습니다.
2344,L705,L,705,bool,alm,1,0,,,,,건조로 배출 벨트 자재 걸림
2419,L784,L,784,bool,alm,1,0,,,,,C판 자재 배춘 만재
2420,L787,L,787,bool,alm,1,0,,,,,저장판 자재 저장 만재
2421,L700,L,700,bool,action,1,0,,,,,리셋  되지 않음
2422,L701,L,701,bool,action,1,0,,,,,자재 저장 서보가 원점으로 돌아가지 않았습니다.
2423,L702,L,702,bool,action,1,0,,,,,자재 배출 서보가 원점으로 돌아가지 않았습니다.
2426,L705,L,705,bool,action,1,0,,,,,건조로 배출 벨트 자재 걸림
2501,L784,L,784,bool,action,1,0,,,,,C판 자재 배춘 만재
2502,L787,L,787,bool,action,1,0,,,,,저장판 자재 저장 만재
2503,L780,L,780,bool,action,1,0,,,,,1#건조로 제품 도착하기를 기다립니다
2504,L781,L,781,bool,action,1,0,,,,,1#컨베이어가 제품이 흘러가기를 기다립니다
2505,L782,L,782,bool,action,1,0,,,,,2#컨베이어 만재되기를 기다립니다
2506,L783,L,783,bool,action,1,0,,,,,ST2저장판 자재 이송 실린더가 위치 도착하기를 기다립니다
2507,L785,L,785,bool,action,1,0,,,,,ST3제품이 제위치 밀되기를 기다립니다
2508,L786,L,786,bool,action,1,0,,,,,ST3중계 자재 배출 만재
